priority	resource_id	resource_name	project_role	disease	brain_region	data_type	access_level	current_status	donor_count	next_action	url
P0	local-public-metadata	PsychAD Supplementary Table 1	Sample definition and confounding audit	AD;DLBD;SCZ;other	DLPFC	Donor metadata	Public	Available locally	1494	Use Tier1 definitions and freeze disease-specific eligible cohorts	external/PsychADxD/1_metadata/PsychAD_SupplementaryTable1.csv
P0	github-DiseaseNeuroGenomics-PsychADxD	PsychAD cross-disorder analysis code	Reference implementation and compatibility audit	Multiple	DLPFC	R;Python;processed example outputs	Public	Cloned at commit a2c6e2b312d8665817204a85737d2c0001d35c8c	NA	Reuse data definitions but rewrite portable paths	external/PsychADxD
P0	syn52160016	MSSM_PsychAD study	Primary discovery study	AD;DLBD;SCZ;other	DLPFC	Multi-omics study folder	Controlled	Pending individual Synapse access and DUA	1494	User registers and requests access	https://www.synapse.org/Synapse:syn52160016
P0	syn68554605	merged_raw_no_qc.h5ad	Raw count fallback only	Multiple	DLPFC	Raw H5AD	Controlled	Located; do not download first	1494	Prefer processed annotated matrix or pseudobulk results	https://www.synapse.org/Synapse:syn68554605
P0	TBD-PsychAD-processed	PsychAD processed annotated counts	Primary disease-state expression	AD;DLBD;SCZ	DLPFC	Processed H5AD/counts	Controlled	Exact Synapse ID pending authenticated inventory	1494	Locate after study access; download by priority	https://psych-ad.org/data/
P0	TBD-PsychAD-res-meta	PsychAD res_meta.parquet and row annotations	Low-cost first-pass disease expression	AD;DLBD;SCZ	DLPFC	Pseudobulk/meta-analysis summary	Controlled or registered access	Exact Synapse ID pending authenticated inventory	NA	Prefer this before full H5AD	https://github.com/DiseaseNeuroGenomics/PsychADxD/tree/main/5_cross-disorder_expression
P0	TBD-PsychAD-snTIM	PsychAD snTIM/snTWAS models	Genetically anchored expression direction	AD;DLBD;SCZ	DLPFC	Cell-type prediction models and summary results	Public or controlled locator pending	Access route pending	1494-model cohort	Locate models and harmonization documentation	https://psych-ad.org/research/
P0	TBD-PsychAD-eQTL	PsychAD cell-type eQTL and colocalization	Primary genetic anchor	AD;DLBD;SCZ	DLPFC	eQTL summary and coloc results	Public or controlled locator pending	Access route pending	1384-genotype cohort	Locate class-level results first	https://psych-ad.org/research/
P0	CELLxGENE-84ce6837	PsychAD CELLxGENE collection	Primary public expression route	AD;DLBD;SCZ;PD;other	DLPFC	Source-cohort H5ADs	Public	Public URLs and remote HDF5 structure verified	1494	Download RADC pilot first; then MSSM and HBCC	https://cellxgene.cziscience.com/collections/84ce6837-548d-4a1f-919f-0bc0d9a3952f
P0	DOI-10.1038-s41588-026-02541-x	SingleBrain supplementary tables	Primary independent genetic-direction anchor	AD;PD;SCZ	DLPFC;MTG;CTX-WM	Colocalization and MR summary	Public	Downloaded and schema-audited	983-meta-analysis	Use PP4 and MR beta/SE; audit possible AD donor overlap	https://www.nature.com/articles/s41588-026-02541-x
P0	DOI-10.1101-2024.11.04.24316495	PsychAD snTWAS supplementary tables	Genetic prioritization and fine-mapping support	AD;PD;SCZ;other	DLPFC	snTIM;TWAS;FOCUS summaries	Public	Downloaded and schema-audited	1494-model cohort	Do not use as primary cell-type direction anchor because public tables lack cell-type z/beta	https://www.medrxiv.org/content/10.1101/2024.11.04.24316495v1
P1	SEA-AD-AWS	SEA-AD processed atlas	Independent AD stage and regional replication	AD	MTG	Processed snRNA/snATAC	Public	Available without DUA	84	Inventory processed MTG files after primary access	https://registry.opendata.aws/allen-sea-ad-atlas/
P1	GSE184950	PD substantia nigra single-nucleus study	Independent disease-relevant-region replication	PD	Substantia nigra	snRNA-seq	Public	Available	32	Download processed matrix after pilot signal definition	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184950
P1	GSE243639	PD cell-type-specific response study	Second PD replication	PD	SNpc	snRNA-seq	Public	Available	29	Use only after checking sample independence from GSE184950	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243639
P1	CommonMind-CMC	CMC/PsychENCODE DLPFC	SCZ replication candidate	SCZ	DLPFC	snRNA or bulk expression	Mixed	Potential donor overlap with PsychAD	NA	Do not label independent until DonorID audit	https://www.psychencode.org/data
P1	MetaBrain-or-GTEx	External brain cis-eQTL	Information-leakage sensitivity analysis	Multiple	Brain regions	eQTL summary	Public/registered	Pending release selection	NA	Select release and harmonize alleles	https://www.metabrain.nl/
P1	TBD-GWAS-releases	Disease GWAS summary statistics	Genetic disease effects	AD;DLBD/PD;SCZ	NA	GWAS summary	Public/registered	Release selection pending	NA	Freeze one discovery and one sensitivity GWAS per disease	NA
